eventID,verbatimCoordinates,locality
1,29SNC1502,Estrada Nacional 261-3.
2,29SNC1703,"Estrada para Porto Covo, mais ou menos a 3 km de Sines."
3,29SNC1904,2 km a nascente do local 2.
4,29SNC2306,100 m poente do Poço da Obra.
6,29SNB2399,Quinta Nova do Paiol.
7,29SNB2196,SE do Monte Mudo.
9,29SNB1799,Esteveira.
12,29SNC1500,"Em frente do depósito, a um Km da refinaria."
13,29SNB2291,"Depois de Porto Covo, Barranca."
15,29SNB2590,"Monte Novo, à saída de Sonega."
16,29SNB2589,Cruzamento da estrada Cercal-Grândola (Tanganheira)
17,29SNB2692,Estrada para Grândola.
18,29SNB2795,Perto de Monte Velho.
19,29SNB2697,Vale Seco.
20,29SNC2400,"Quinta da Alagoinha, Paiol."
21,29SNB2499,Monte perto de Almajões.
22,29SNC2502,Monte do Serro.
23,29SNB2090,Estrada para a Ilha do Pessegueiro
24,29SNB1890,Em frente à praia de Porto Covo.
25,29SNB2190,Herdade da Chaminé.
26,29SNC1202,Esteira dos Pipe-lines
27,29SNC1203,Cova do lago.
28,29SNC1403,Ribeira dos Moinhos.
29,29SNC1607,Sanchinha.
30,29SNC1607,Bêbeda.
31,29SNC1706,Bêbeda de Baixo.
32,29SNC1902,Cerca Velha.
33,29SNC2001,Caniços.
34,29SNB2199,"Pinhal Novo, Vale Clarinho."
36,29SNC1709,Brejinhos.
38,29SNC2604,Venda do Mateus.
39,29SNC1908,Carrasqueira.
40,29SNC2204,Quinta da Urtiga.
41,29SNC2404,Caminho para a Barragem de Morganvel.
43,29SNC1500,Próximo do Pocinho.
44,29SNB1894,Brejos de Morganvel.
45,29SNB2092,Monte do Burrinho.
46,29SNC2406,Vale Verde.
47,29SNB1799,Olheiro.
48,29SNB2095,Próximo da Fábrica de tijolo.
49,29SNC2409,Quinta de S. João.
50,29SNC2209,Via rápida mesmo em frente a Santiago.
51,29SNC2600,"A 6 km a Sul de Santiago do Cacém, Km 56."
53,29SNB2279,A 12 km do Cercal na estrada para Vila Nova de Milfontes
54,29SNB2883,À saída do Cercal.
55,29SNB3486,Cercal. Estrada para a Barragem de Campilhas.
56,29SNB3488,Estrada para a Barragem de Campilhas.
57,29SNB2197,Brejos Verdes.
58,29SNB2396,Entre Monte Agudo e Brejos Verdes.
59,29SNC2607,Castelo de Santiago do Cacém.
60,29SNB2293,Banaiça.
61,29SNC3813,Tanganhal.
62,29SNC3904,Depois de Abela a caminho de S. Domingos.
63,29SNC3401,Estrada S. Domingos para Santiago do Cacém.  
64,29SNB3593,Entre Campilhas e S. Domingos.
65,29SNC2422,Estrada Melides para Grândola. Vale Mouro.
66,29SNC2716,São Francisco da Serra.
67,29SNB3681,"Cercal, na estrada para Colos."
68,29SNB2582,"Cercal, na estrada para Vila Nove de Milfontes. "
69,29SNB1974,2 km a sul de Vila Nova de Milfontes.
70,29SNC2705,"S. Cacém, na estrada para S. Domingos."
71,29SNC3625,"Grândola, estrada para Melides."
72,29SNC2212,S. André.
73,29SNC2215,Deixa-o-Resto.
74,29SNC3418,"Carpetal, na estrada de Grâncola para S. Cacém."
75,29SNC3023,"A S da Atalaia, 8 Km a E de Melides."
76,29SNC2410,"S. Cacém, na estrada para S. André."
77,29SNC2707,"Mirobriga, S. Cacém."
78,29SNB2788,"Tanganheira, na estrada para o Cercal."
80,29SNC3108,"S. Bartolomeu da Serra, 4 km E de S. Cacém.    "
81,29SNC3722,"Grândola, na estrada para o Tanganhal."
82,29SNB3980,"Cercal, na estrada para Colos."
83,29SNC2408,Possancas.
84,29SNC2418,Serra do Cercal. Monte do Cercal.
85,29SNB3542,"São Teotónio. Serra da Berjeira, entre Semalhadas e Berjeira."
86,29SNB2651,São Teotónio.
87,29SNB3265,Odemira. Ribeira do Torgal.
