idx,lat,lon,locality,municipality,stateProvince,country,country_code
21125,41.1,-8.55,,Vila Nova de Gaia,Porto,Portugal,pt
21671,37.21666667,-7.033333333,Punta Umbría,Comarca Metropolitana de Huelva,Huelva,Spain,es
24741,37.73333333,-7.966666667,,Castro Verde,Beja,Portugal,pt
25898,37.16666667,-6.966666667,,,,Spain,es
28181,49.33333333,-1.166666667,Carentan-les-Marais,Saint-Lô,Manche,France,fr
30840,63.96666667,26.03333333,Kärsämäki,Haapaveden-Siikalatvan seutukunta,North Ostrobothnia,Finland,fi
40478,38.46666667,-8.35,,Alcácer do Sal,Setúbal,Portugal,pt
41857,39.5625,-7.315833333,,Valencia de Alcántara,Cáceres,Spain,es
56358,50.71666667,-1.766666667,,,"Bournemouth, Christchurch and Poole",United Kingdom,gb
67529,36.4,-5.616666667,,,La Janda,Spain,es
81875,38.92416667,-8.989166667,,Vila Franca de Xira,Lisbon,Portugal,pt
87309,56.63333333,-2.633333333,,,Angus,United Kingdom,gb
102212,40.34444444,-7.635555556,,,Guarda,Portugal,pt
138840,37.76666667,-25.51666667,,Lagoa,,Portugal,pt
382446,69.75,22.06666667,,Kvænangen,Troms og Finnmark,Norway,no
382463,52.35,4.533333333,,Zandvoort,,Netherlands,nl
382521,44.63333333,-1.016666667,Le Teich,Arcachon,,France,fr
383200,53.98333333,8.866666667,,,,Germany,de
383381,40.0,-8.916666667,,,,Portugal,pt
383399,53.0,5.416666667,Workum,Súdwest-Fryslân,,Netherlands,nl
383698,51.93333333,5.566666667,Kesteren,Neder-Betuwe,,Netherlands,nl
383829,52.53333333,5.916666667,,Kampen,,Netherlands,nl
384384,62.46666667,17.48333333,Alnö District,Sundsvall Municipality,Västernorrland County,Sweden,se
384587,39.91666667,-8.983333333,,,,Portugal,pt
385203,51.25,4.033333333,Heikant,Hulst,,Netherlands,nl
385789,52.5,17.0,Annowo,gmina Czerwonak,Poznań County,Poland,pl
392909,50.51666667,11.13333333,,Neuhaus am Rennweg,Landkreis Sonneberg,Germany,de
392959,54.25,13.91666667,,,,Germany,de
394016,58.08333333,6.766666667,,Farsund,Agder,Norway,no
396994,50.46666667,3.816666667,,Saint-Ghislain,Mons,Belgium,be
