idx,verbatimEventDate,eventTime,decimalLatitude,decimalLongitude,eventDate,eventDate,eventTime
32979,23.09.2006,1036,40.68944444,-8.728888889,2006-09-23T10:36:00+01:00,2006-09-23,10:36+0100
55264,06.11.2012,900,38.71666667,-9.033333333,2012-11-06T09:00:00+00:00,2012-11-06,09:00+0000
81497,12.07.2008,730,39.45,-9.05,2008-07-12T07:30:00+01:00,2008-07-12,07:30+0100
84749,22.05.2008,1700,37.8,-8.45,2008-05-22T17:00:00+01:00,2008-05-22,17:00+0100
90510,05.07.2010,100,40.73333333,-8.566666667,2010-07-05T01:00:00+01:00,2010-07-05,01:00+0100
95025,06.08.2006,630,39.45,-9.05,2006-08-06T06:30:00+01:00,2006-08-06,06:30+0100
96627,15.08.2008,600,39.45,-9.05,2008-08-15T06:00:00+01:00,2008-08-15,06:00+0100
119437,06.02.2016,900,40.3125,-8.403611111,2016-02-06T09:00:00+00:00,2016-02-06,09:00+0000
122512,19.10.2008,800,37.06666667,-8.116666667,2008-10-19T08:00:00+01:00,2008-10-19,08:00+0100
147935,08.07.2009,830,40.5,-8.5,2009-07-08T08:30:00+01:00,2009-07-08,08:30+0100
154260,22.11.2005,1130,40.11666667,-8.616666667,2005-11-22T11:30:00+00:00,2005-11-22,11:30+0000
159006,02.08.2001,800,38.08333333,-8.783333333,2001-08-02T08:00:00+01:00,2001-08-02,08:00+0100
184254,07.09.1997,----,38.08333333,-8.783333333,1997-09-07,1997-09-07,
203527,06.07.2013,830,38.6,-7.9,2013-07-06T08:30:00+01:00,2013-07-06,08:30+0100
223081,04.03.2010,1030,40.16666667,-8.716666667,2010-03-04T10:30:00+00:00,2010-03-04,10:30+0000
237204,07.05.2007,840,37.75,-25.33333333,2007-05-07T08:40:00+00:00,2007-05-07,08:40+0000
244373,04.10.2006,800,41.9,-7.9,2006-10-04T08:00:00+01:00,2006-10-04,08:00+0100
259341,19.08.2000,900,41.71666667,-6.983333333,2000-08-19T09:00:00+01:00,2000-08-19,09:00+0100
268134,07.09.2007,800,38.08333333,-8.783333333,2007-09-07T08:00:00+01:00,2007-09-07,08:00+0100
272578,13.09.2003,900,38.08333333,-8.783333333,2003-09-13T09:00:00+01:00,2003-09-13,09:00+0100
298374,09.05.2007,1200,40.03333333,-8.883333333,2007-05-09T12:00:00+01:00,2007-05-09,12:00+0100
302012,13.03.2012,1415,37.5,-8.05,2012-03-13T14:15:00+00:00,2012-03-13,14:15+0000
326951,31.08.2011,745,40.55,-8.5,2011-08-31T07:45:00+01:00,2011-08-31,07:45+0100
327165,07.10.2007,800,38.08333333,-8.783333333,2007-10-07T08:00:00+01:00,2007-10-07,08:00+0100
332833,10.07.2013,800,39.45,-8.75,2013-07-10T08:00:00+01:00,2013-07-10,08:00+0100
334140,14.11.2007,800,39.45,-8.75,2007-11-14T08:00:00+00:00,2007-11-14,08:00+0000
348758,01.06.2013,800,37.2,-7.983333333,2013-06-01T08:00:00+01:00,2013-06-01,08:00+0100
350292,05.07.2001,930,37.15,-8.616666667,2001-07-05T09:30:00+01:00,2001-07-05,09:30+0100
373637,10.08.2012,----,36.91666667,-25.16666667,2012-08-10,2012-08-10,
396887,03.09.1997,----,40.25,-8.683333333,1997-09-03,1997-09-03,
